carrier,total_flights,cancellation_rate_percent,average_arrival_delay_minutes,average_departure_delay_minutes,delayed_flight_percentage
AA,77346,1.61,19.17,22.70,28.05
OO,56814,4.20,15.20,19.80,22.43
OH,16526,5.71,14.99,18.77,23.20
F9,14379,2.16,14.72,18.85,25.87
B6,19580,1.71,13.52,19.15,27.60
MQ,20750,4.49,13.35,15.24,25.46
HA,6576,1.46,10.66,9.96,25.21
9E,16972,4.16,10.56,17.06,21.64
G4,8596,2.25,10.53,15.41,21.13
AS,17775,17.55,10.38,15.75,21.84
NK,20415,1.48,9.68,15.05,25.07
UA,58855,8.01,8.86,15.91,19.24
WN,115389,3.09,6.42,12.14,21.94
DL,74384,0.64,4.36,11.83,18.07
YX,22914,4.63,0.32,6.41,15.75
