origin,dest,route,total_flights,average_departure_delay_minutes,average_arrival_delay_minutes,cancellation_rate_percent,departure_delay_percentage,arrival_delay_percentage
BNA,DFW,BNA → DFW,274,52.39,54.72,8.39,32.27,35.46
CID,ORD,CID → ORD,129,45.94,45.83,11.63,35.09,41.23
MCI,DFW,MCI → DFW,192,36.34,45.77,1.04,30.00,42.11
BDL,DCA,BDL → DCA,155,43.96,42.96,6.45,26.21,29.66
EGE,DFW,EGE → DFW,124,40.52,42.07,1.61,35.25,39.34
ASE,IAH,ASE → IAH,102,45.23,41.52,11.76,43.33,38.89
DTW,HPN,DTW → HPN,106,42.87,40.22,6.60,31.31,30.30
BWI,DFW,BWI → DFW,114,39.34,39.43,1.75,27.68,31.25
STL,DFW,STL → DFW,173,35.80,38.89,1.16,32.75,38.60
HPN,DTW,HPN → DTW,105,48.92,38.04,7.62,36.08,35.05
BTV,DCA,BTV → DCA,107,42.33,37.87,9.35,25.77,28.87
AGS,ATL,AGS → ATL,174,42.37,37.58,0.00,32.76,33.91
MSY,DFW,MSY → DFW,215,32.91,36.67,1.40,29.72,36.32
PNS,CLT,PNS → CLT,149,40.54,36.63,1.34,28.57,28.57
DTW,PHX,DTW → PHX,169,47.67,36.61,1.78,30.12,32.53
PBI,DFW,PBI → DFW,111,35.67,36.46,3.60,35.51,42.06
SEA,EUG,SEA → EUG,112,41.45,36.21,15.18,27.37,25.26
RDM,SEA,RDM → SEA,141,34.56,36.13,10.64,19.05,26.19
BUF,ORD,BUF → ORD,121,37.73,35.85,15.70,31.37,36.27
BTR,DFW,BTR → DFW,141,33.70,35.25,4.26,32.59,35.56
ORD,SBN,ORD → SBN,148,41.61,35.07,19.59,34.45,35.29
COS,DFW,COS → DFW,153,32.99,34.98,0.00,26.80,32.68
ORD,MKE,ORD → MKE,155,35.37,34.88,7.74,32.17,34.97
ORD,CID,ORD → CID,127,42.36,34.88,11.81,33.04,37.50
MCI,DCA,MCI → DCA,168,34.31,34.38,11.90,28.38,33.78
ATW,ORD,ATW → ORD,139,34.35,33.61,12.23,27.87,36.89
PDX,DFW,PDX → DFW,175,37.04,33.41,5.14,32.53,33.73
GRB,ORD,GRB → ORD,130,35.03,33.11,9.23,25.42,33.05
DFW,PDX,DFW → PDX,175,37.04,33.05,5.14,34.94,35.54
ORD,BUF,ORD → BUF,121,34.72,32.90,14.05,28.85,31.73
HPN,ATL,HPN → ATL,137,40.92,32.73,0.73,33.82,31.62
TUL,DFW,TUL → DFW,221,28.34,32.66,3.17,23.36,35.05
XNA,DFW,XNA → DFW,250,23.53,32.16,3.60,31.54,42.32
CLT,CVG,CLT → CVG,148,34.44,32.02,0.68,34.69,37.41
SGF,DFW,SGF → DFW,234,28.69,31.89,5.98,30.91,34.55
ORD,FAR,ORD → FAR,123,35.58,31.81,5.69,31.03,37.07
ATL,EYW,ATL → EYW,127,28.81,31.47,0.00,19.69,26.77
DRO,DEN,DRO → DEN,124,33.53,30.94,0.00,22.58,25.00
AUS,DFW,AUS → DFW,379,28.92,30.74,1.85,25.00,30.11
MCO,DFW,MCO → DFW,435,28.86,30.23,1.15,32.79,38.37
BDL,MCO,BDL → MCO,153,31.18,30.05,2.61,24.83,30.87
MCI,ORD,MCI → ORD,235,25.33,29.90,6.38,25.91,35.00
STL,ORD,STL → ORD,172,29.87,29.89,9.30,31.41,33.33
TPA,DFW,TPA → DFW,242,30.03,29.57,1.65,32.77,34.87
IAH,SFO,IAH → SFO,251,34.52,29.43,11.95,33.48,29.41
OMA,DFW,OMA → DFW,120,27.51,29.37,1.67,33.05,42.37
BNA,CLT,BNA → CLT,314,30.70,29.31,6.37,26.53,31.29
DFW,SMF,DFW → SMF,142,33.38,29.01,0.70,35.46,34.04
DTW,ORD,DTW → ORD,353,29.77,28.98,9.07,26.79,32.71
CVG,CLT,CVG → CLT,148,33.46,28.97,1.35,28.77,31.51
MIA,MSY,MIA → MSY,177,22.41,28.90,0.56,28.98,41.48
DFW,COS,DFW → COS,153,34.57,28.84,0.00,30.07,27.45
FSD,ORD,FSD → ORD,104,27.22,28.84,8.65,29.47,40.00
